姓名: 姓名,学号: 学号,身份证号: 身份证号码,电话: 电话,
姓名: 唐灿明002,学号: 2023002,身份证号: 50023320000101‘,电话: 15223650216,
姓名: 唐灿明003,学号: 2023003,身份证号: 50023320000101‘,电话: 15223650217,
姓名: 唐灿明004,学号: 2023004,身份证号: 50023320000101‘,电话: 15223650218,
姓名: 唐灿明005,学号: 2023005,身份证号: 50023320000101‘,电话: 15223650219,
姓名: 唐灿明006,学号: 2023006,身份证号: 50023320000101‘,电话: 15223650220,
姓名: 唐灿明007,学号: 2023007,身份证号: 50023320000101‘,电话: 15223650221,
姓名: 唐灿明008,学号: 2023008,身份证号: 50023320000101‘,电话: 15223650222,
姓名: 唐灿明009,学号: 2023009,身份证号: 50023320000101‘,电话: 15223650223,
姓名: 唐灿明010,学号: 2023010,身份证号: 50023320000101‘,电话: 15223650224,
姓名: 唐灿明011,学号: 2023011,身份证号: 50023320000101‘,电话: 15223650225,
姓名: 唐灿明012,学号: 2023012,身份证号: 50023320000101‘,电话: 15223650226,
姓名: 唐灿明013,学号: 2023013,身份证号: 50023320000101‘,电话: 15223650227,
姓名: 唐灿明014,学号: 2023014,身份证号: 50023320000101‘,电话: 15223650228,
姓名: 唐灿明015,学号: 2023015,身份证号: 50023320000101‘,电话: 15223650229,
姓名: 唐灿明016,学号: 2023016,身份证号: 50023320000101‘,电话: 15223650230,
姓名: 唐灿明017,学号: 2023017,身份证号: 50023320000101‘,电话: 15223650231,
姓名: 唐灿明018,学号: 2023018,身份证号: 50023320000101‘,电话: 15223650232,
姓名: 唐灿明019,学号: 2023019,身份证号: 50023320000101‘,电话: 15223650233,
姓名: 唐灿明020,学号: 2023020,身份证号: 50023320000101‘,电话: 15223650234,
姓名: 唐灿明021,学号: 2023021,身份证号: 50023320000101‘,电话: 15223650235,
姓名: 唐灿明022,学号: 2023022,身份证号: 50023320000101‘,电话: 15223650236,
姓名: 唐灿明023,学号: 2023023,身份证号: 50023320000101‘,电话: 15223650237,
姓名: 唐灿明024,学号: 2023024,身份证号: 50023320000101‘,电话: 15223650238,
姓名: 唐灿明025,学号: 2023025,身份证号: 50023320000101‘,电话: 15223650239,
姓名: 唐灿明026,学号: 2023026,身份证号: 50023320000101‘,电话: 15223650240,
姓名: 唐灿明027,学号: 2023027,身份证号: 50023320000101‘,电话: 15223650241,
姓名: 唐灿明028,学号: 2023028,身份证号: 50023320000101‘,电话: 15223650242,
姓名: 唐灿明029,学号: 2023029,身份证号: 50023320000101‘,电话: 15223650243,
姓名: 唐灿明030,学号: 2023030,身份证号: 50023320000101‘,电话: 15223650244,
姓名: 唐灿明031,学号: 2023031,身份证号: 50023320000101‘,电话: 15223650245,
姓名: 唐灿明032,学号: 2023032,身份证号: 50023320000101‘,电话: 15223650246,
姓名: 唐灿明033,学号: 2023033,身份证号: 50023320000101‘,电话: 15223650247,
姓名: 唐灿明034,学号: 2023034,身份证号: 50023320000101‘,电话: 15223650248,
姓名: 唐灿明035,学号: 2023035,身份证号: 50023320000101‘,电话: 15223650249,
姓名: 唐灿明036,学号: 2023036,身份证号: 50023320000101‘,电话: 15223650250,
姓名: 唐灿明037,学号: 2023037,身份证号: 50023320000101‘,电话: 15223650251,
姓名: 唐灿明038,学号: 2023038,身份证号: 50023320000101‘,电话: 15223650252,
姓名: 唐灿明039,学号: 2023039,身份证号: 50023320000101‘,电话: 15223650253,
姓名: 唐灿明040,学号: 2023040,身份证号: 50023320000101‘,电话: 15223650254,
姓名: 唐灿明041,学号: 2023041,身份证号: 50023320000101‘,电话: 15223650255,
姓名: 唐灿明042,学号: 2023042,身份证号: 50023320000101‘,电话: 15223650256,
姓名: 唐灿明043,学号: 2023043,身份证号: 50023320000101‘,电话: 15223650257,
姓名: 唐灿明044,学号: 2023044,身份证号: 50023320000101‘,电话: 15223650258,
姓名: 唐灿明045,学号: 2023045,身份证号: 50023320000101‘,电话: 15223650259,
姓名: 唐灿明046,学号: 2023046,身份证号: 50023320000101‘,电话: 15223650260,
姓名: 唐灿明047,学号: 2023047,身份证号: 50023320000101‘,电话: 15223650261,
姓名: 唐灿明048,学号: 2023048,身份证号: 50023320000101‘,电话: 15223650262,
姓名: 唐灿明049,学号: 2023049,身份证号: 50023320000101‘,电话: 15223650263,
姓名: 唐灿明050,学号: 2023050,身份证号: 50023320000101‘,电话: 15223650264,
姓名: 唐灿明051,学号: 2023051,身份证号: 50023320000101‘,电话: 15223650265,
姓名: 唐灿明052,学号: 2023052,身份证号: 50023320000101‘,电话: 15223650266,
姓名: 唐灿明053,学号: 2023053,身份证号: 50023320000101‘,电话: 15223650267,
姓名: 唐灿明054,学号: 2023054,身份证号: 50023320000101‘,电话: 15223650268,
姓名: 唐灿明055,学号: 2023055,身份证号: 50023320000101‘,电话: 15223650269,
姓名: 唐灿明056,学号: 2023056,身份证号: 50023320000101‘,电话: 15223650270,
姓名: 唐灿明057,学号: 2023057,身份证号: 50023320000101‘,电话: 15223650271,
姓名: 唐灿明058,学号: 2023058,身份证号: 50023320000101‘,电话: 15223650272,
姓名: 唐灿明059,学号: 2023059,身份证号: 50023320000101‘,电话: 15223650273,
姓名: 唐灿明060,学号: 2023060,身份证号: 50023320000101‘,电话: 15223650274,
姓名: 唐灿明061,学号: 2023061,身份证号: 50023320000101‘,电话: 15223650275,
姓名: 唐灿明062,学号: 2023062,身份证号: 50023320000101‘,电话: 15223650276,
姓名: 唐灿明063,学号: 2023063,身份证号: 50023320000101‘,电话: 15223650277,
姓名: 唐灿明064,学号: 2023064,身份证号: 50023320000101‘,电话: 15223650278,
姓名: 唐灿明065,学号: 2023065,身份证号: 50023320000101‘,电话: 15223650279,
姓名: 唐灿明066,学号: 2023066,身份证号: 50023320000101‘,电话: 15223650280,
姓名: 唐灿明067,学号: 2023067,身份证号: 50023320000101‘,电话: 15223650281,
姓名: 唐灿明068,学号: 2023068,身份证号: 50023320000101‘,电话: 15223650282,
